,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
260,1547,ARSB,611542,253200;272200;,[MIM:253200]Mucopolysaccharidosis 6 [recessive?];[MIM:272200]Multiple sulfatase deficiency;,"Mucopolysaccharidosis type 6, slowly progressing;Mucopolysaccharidosis type 6, rapidly progressing",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Toenail selenium levels[25343990;25343990];Iron status biomarkers[19084217];Attention deficit hyperactivity disorder[23728934];Blood and toenail selenium levels[25343990;25343990;25343990;25343990;25343990];Blood protein levels[28240269;28240269;29875488];Hippocampal atrophy[19668339];,0.4538650306748466,0.23001547189272822,0.056382145653876274,0.7978821362799263
261,1552,ARSE,300180,302950;,"[MIM:302950]Chondrodysplasia punctata 1, X-linked recessive;",Brachytelephalangic chondrodysplasia punctata,Disease-causing germline mutation(s) in,Height[21998595;22021425];,0.12711656441717792,0.7150593089221248,0.7823022709475332,0.7539901780233272
262,1558,ARSI,610009,,,Autosomal recessive spastic paraplegia type 66,Disease-causing germline mutation(s) in,Epstein-Barr virus copy number in lymphoblastoid cell lines[28654678];,0.12711656441717792,0.07426508509541001,0.5609501435656487,0.7346531614487416
263,1567,ARTN,603886,,,Familial prostate cancer;Nijmegen breakage syndrome;Hereditary breast and ovarian cancer syndrome,Major susceptibility factor in;Disease-causing germline mutation(s) in;Candidate gene tested in,Autism spectrum disorder or schizophrenia[28540026];,0.038773006134969326,0.6712222795255286,0.9725920125293657,0.0
264,1568,ARV1,611647,617020;,,Undetermined early-onset epileptic encephalopathy,Candidate gene tested in,,0.33226993865030674,0.21634863331614235,0.0,0.17357274401473297
265,1569,ARVCF,602269,,,22q11.2 deletion syndrome,Role in the phenotype of,Central corneal thickness[29760442];White blood cell count[27863252];Lymphocyte counts[27863252];Pulse pressure[28739976;28739976;28135244];Monocyte count[27863252];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962];Platelet count[22139419;27863252];,0.2947239263803681,0.09541000515729757,0.1482641607935265,0.21255371393492942
266,1572,ARX,300382,300004;300215;300419;308350;309510;,"[MIM:308350]Epileptic encephalopathy, early infantile, 1;[MIM:309510]Partington syndrome;[MIM:300419]Mental retardation, X-linked, ARX-related;[MIM:300004]Agenesis of the corpus callosum, with abnormal genitalia;",Early infantile epileptic encephalopathy;West syndrome;Corpus callosum agenesis-abnormal genitalia syndrome;X-linked spasticity-intellectual disability-epilepsy syndrome;X-linked non-syndromic intellectual disability;X-linked lissencephaly with abnormal genitalia;Infantile epileptic-dyskinetic encephalopathy;Partington syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,,0.38061349693251534,0.8677153171738009,0.961628817541112,0.0
267,1574,ASAH1,613468,159950;228000;,[MIM:159950]Spinal muscular atrophy with progressive myoclonic epilepsy [recessive?];,Farber disease;Spinal muscular atrophy-progressive myoclonic epilepsy syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Obesity[21552555;21552555;21552555];Atrial fibrillation[28416818;30061737;29892015;29892015];Night sleep phenotypes[27126917];,0.4750920245398773,0.06756059824651882,0.3855390237535891,0.42464702271332105
268,1602,ASCC1,614215,614266;616867;,[MIM:616867]Spinal muscular atrophy with congenital bone fractures 2 [recessive?];,Prenatal-onset spinal muscular atrophy with congenital bone fractures,Disease-causing germline mutation(s) in,Body mass index[30045251];,0.6120245398773007,0.05698813821557504,0.23884103367267032,0.0
269,1605,ASCL1,100790,,,Haddad syndrome,Disease-causing germline mutation(s) in,Menopause (age at onset)[26414677];C-reactive protein levels[21300955];,0.2498159509202454,0.7890665291387313,0.7541111981205951,0.0
270,1629,ASL,608310,207900;,[MIM:207900]Argininosuccinic aciduria [recessive?];,Argininosuccinic aciduria,Disease-causing germline mutation(s) (loss of function) in,,0.3669938650306748,0.12815884476534295,0.8459932132602453,0.8838244321669736
271,1635,ASNS,108370,615574;,[MIM:615574]Asparagine synthetase deficiency;,Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome,Disease-causing germline mutation(s) (loss of function) in,,0.8912883435582822,0.2563176895306859,0.6397807361002349,0.06276856967464703
272,1643,ASPA,608034,271900;,,Mild Canavan disease;Severe Canavan disease,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Myopia (pathological)[23049088];,0.16220858895705523,0.7163486333161423,0.7225267554163404,0.7220687538367097
273,1646,ASPH,600582,601552;,,Facial dysmorphism-lens dislocation-anterior segment abnormalities-spontaneous filtering blebs syndrome,Disease-causing germline mutation(s) in,Resting heart rate[28270201];Urate levels in overweight individuals[25811787];Blood protein levels[29875488;30072576];,0.8250306748466257,0.04486848891181021,0.5319759853824066,0.012430939226519336
274,1649,ASPM,605481,608716;,"[MIM:608716]Microcephaly 5, primary, autosomal recessive [recessive?];",Autosomal recessive primary microcephaly,Disease-causing germline mutation(s) in,Age-related macular degeneration[23536807];Matrix metalloproteinase-8 levels[29212897];Blood protein levels[28240269;28240269];Lupus nephritis in systemic lupus erythematosus[24925725];,0.7246625766871165,0.0033522434244455906,0.05090054815974941,0.0167280540208717
275,1652,ASPSCR1,606236,,,Alveolar soft tissue sarcoma;MiT family translocation renal cell carcinoma,Part of a fusion gene in;Part of a fusion gene in,,0.4538650306748466,0.2447137699845281,0.11015400678673976,0.1821669736034377
276,1654,ASS1,603470,215700;,[MIM:215700]Citrullinemia 1 [recessive?];,Acute neonatal citrullinemia type I;Adult-onset citrullinemia type I,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,,0.7460122699386503,0.35456420835482205,0.5768728791438267,0.7911295273173726
277,1674,ASXL1,612990,605039;614286;,[MIM:605039]Bohring-Opitz syndrome;[MIM:614286]Myelodysplastic syndrome;,Bohring-Opitz syndrome,Disease-causing germline mutation(s) in,Inflammatory bowel disease[28067908];,0.6169325153374233,0.7184115523465704,0.29339598016183766,0.04251074278698588
278,1676,ASXL3,615115,615485;,,Severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome,Disease-causing germline mutation(s) (loss of function) in,Pulmonary function[23932459];Diisocyanate-induced asthma[25918132;25918132];Multiple system atrophy (pathologically confirmed)[27629089];,0.08736196319018405,0.720216606498195,0.3351605324980423,0.6223143032535298
279,1678,ATAD1,614452,618011;,[MIM:618011]Hyperekplexia 4 [recessive?];,Hereditary hyperekplexia,Disease-causing germline mutation(s) in,Heel bone mineral density[28869591;28869591];,0.6671165644171779,0.3553378029912326,0.9316105455494649,0.5857888275015347
280,1681,ATAD3A,612316,617183;,[MIM:617183]Harel-Yoon syndrome [dominant?] [recessive?];,Optic atrophy-peripheral neuropathy-developmental delay syndrome,Disease-causing germline mutation(s) in,Body mass index[26426971];,0.98,0.167354306343476,0.2103889323936309,0.7989564149785144
281,1686,ATCAY,608179,601238;,"[MIM:601238]Cerebellar ataxia, cayman type;","Cerebellar ataxia, Cayman type",Disease-causing germline mutation(s) in,Aging (time to event)[21782286];,0.14576687116564419,0.6578133058277462,0.8694857739493604,0.43784530386740333
282,1690,ATF1,123803,612160;,[MIM:612160]Angiomatoid fibrous histiocytoma;,Melanoma of soft tissue,Part of a fusion gene in,Sudden cardiac arrest[21658281];Male-pattern baldness[27182965];Colorectal cancer[20972440;24737748;25990418];Mean arterial pressure[27618448];,0.4298159509202454,0.5538937596699329,0.6622291829809449,0.38812154696132595
283,1700,ATF6,605537,616517;,[MIM:616517]Achromatopsia 7;,Cone rod dystrophy;Achromatopsia,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Chronic bronchitis in chronic obstructive pulmonary disease[25241909];Systemic sclerosis[30247649];Parkinson's disease (age of onset)[19772629];,0.5749693251533742,0.17895822588963384,0.08117984860349778,0.1741866175567833
284,1730,ATIC,601731,608688;,[MIM:608688]AICAR transformylase/IMP cyclohydrolase deficiency;,AICA-ribosiduria,Disease-causing germline mutation(s) in,Airway imaging phenotypes[26030696];,0.7592638036809816,0.03274883960804539,0.08796658835813104,0.2714855739717618
285,1731,ATL1,606439,182600;613708;,"[MIM:613708]Neuropathy, hereditary sensory, 1D;",Hereditary sensory and autonomic neuropathy type 1;Autosomal dominant spastic paraplegia type 3,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Cognitive performance[20125193];Dupuytren's disease[28886342];Periodontal disease-related phenotypes[24347629];,0.20368098159509201,0.7596699329551315,0.9190811798486035,0.6539287906691221
286,1733,ATL3,609369,615632;,,Hereditary sensory and autonomic neuropathy type 1,Disease-causing germline mutation(s) in,,0.5948466257668712,0.13228468282619907,0.31897676846776296,0.2945058317986495
287,1734,ATM,607585,208900;,[MIM:208900]Ataxia telangiectasia;,Ataxia-telangiectasia;Ataxia-telangiectasia variant;B-cell chronic lymphocytic leukemia;Mantle cell lymphoma,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing somatic mutation(s) in;Disease-causing somatic mutation(s) in,Alzheimer's disease (late onset)[28714976];Melanoma[21983787;28212542];Response to metformin in type 2 diabetes (glycemic)[21186350];Eosinophil counts[27863252];Red blood cell count[29403010];Sum eosinophil basophil counts[27863252];Uterine fibroids[30194396;30194396;30194396];Renal cell carcinoma[28598434];Rheumatoid arthritis[24390342;24390342];Gastric adenocarcinoma (histologically verified)[26098866;26098866];Gastric cancer[26098866;26098866];Prostate cancer[29892016];Eosinophil percentage of white cells[27863252];,0.7386503067484662,0.23182052604435277,0.0373270686504829,0.167280540208717
288,1736,ATN1,607462,125370;,[MIM:125370]Dentatorubral-pallidoluysian atrophy;,Dentatorubral pallidoluysian atrophy,Disease-causing germline mutation(s) in,,0.625398773006135,0.9761474987106756,0.30801357347950925,0.3083179864947821
289,1738,ATOH7,609875,221900;,"[MIM:221900]Persistent hyperplastic primary vitreous, autosomal recessive [recessive?];",Congenital cataract microcornea with corneal opacity;Persistent hyperplastic primary vitreous,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Optic nerve measurement (cup area)[20395239];Optic disc parameters[20548946];Optic cup area[25631615;25631615;28073927;28073927];Optic nerve measurement (cup-to-disc ratio)[28061514];Eating disorders (purging via substances)[23568457];Optic disc area[21307088;28073927;28073927;25631615;25631615];Vertical cup-disc ratio[25241763;20548946;28073927;28073927];Optic nerve measurement (disc area)[20395239];,0.038773006134969326,0.5229499742135121,0.8191072826938136,0.521792510742787
290,1741,ATP1A1,182310,,,Autosomal dominant Charcot-Marie-Tooth disease type 2DD,Disease-causing germline mutation(s) in,Coffee consumption[29367735];,0.9955828220858896,1.0,0.7937875228399895,0.9760589318600368
291,1743,ATP1A2,182340,104290;602481;,"[MIM:602481]Migraine, familial hemiplegic, 2;[MIM:104290]Alternating hemiplegia of childhood 1;",Alternating hemiplegia of childhood;Familial or sporadic hemiplegic migraine,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Response to antipsychotic treatment[23241943];,0.5561963190184049,0.34347601856627125,0.7632471939441399,0.7837630448127686
292,1744,ATP1A3,182350,128235;601338;614820;,"[MIM:128235]Dystonia 12 [dominant?];[MIM:614820]Alternating hemiplegia of childhood 2;[MIM:601338]Cerebellar ataxia, areflexia, pes cavus, optic atrophy, and sensorineural hearing loss [dominant?];",Alternating hemiplegia of childhood;Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome;Rapid-onset dystonia-parkinsonism,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in;Disease-causing germline mutation(s) in,,0.43754601226993867,1.0,0.9150352388410337,0.9898710865561694
293,1753,ATP2A1,108730,601003;,[MIM:601003]Brody myopathy;,Brody myopathy,Disease-causing germline mutation(s) (loss of function) in,Inflammatory bowel disease[28067908];BMI in non-smokers[28443625;28443625;28443625];Body mass index[19079260;25673413;25673413;25673413;25673413;28892062];Intelligence (MTAG)[29326435];Cannabis use[30150663];Intelligence[28530673;28530673];Hip circumference[25673412;25673412;25673412];Body mass index (joint analysis main effects and smoking interaction)[28443625;28443625;28443625];Crohn's disease[28067908];Weight[19079260];BMI (adjusted for smoking behaviour)[28443625;28443625;28443625];,0.8422085889570552,0.369778236204229,0.5494648916731923,0.8265807243707797
294,1755,ATP2A2,108740,101900;124200;,[MIM:101900]Acrokeratosis verruciformis [dominant?];[MIM:124200]Darier disease;,Darier disease;Acrokeratosis verruciformis of Hopf,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Glucose homeostasis traits[25524916];QT interval[24952745];Schizophrenia[25056061;28991256];Protein quantitative trait loci[18464913];,0.9968098159509202,0.7331098504383703,0.8655703471678413,0.9389195825659914
295,1759,ATP2B2,108733,,,Autosomal recessive non-syndromic sensorineural deafness type DFNB,Modifying germline mutation in,Manganese levels[26025379];Autism spectrum disorder or schizophrenia[28540026];Cognitive decline rate in late mild cognitive impairment[26252872];Amyotrophic lateral sclerosis (sporadic)[24529757];Metabolite levels[19043545];,0.5658895705521473,1.0,0.6536152440616028,0.9861878453038674
296,1762,ATP2B3,300014,302500;,,X-linked non progressive cerebellar ataxia,Disease-causing germline mutation(s) in,,0.4226993865030675,0.9782104177411036,0.6382145653876272,0.9969306322897483
297,1763,ATP2B4,108732,,,Autosomal recessive non-syndromic sensorineural deafness type DFNB,Modifying germline mutation in,Mean corpuscular hemoglobin concentration[23263863;28453575;27863252];Obstructive sleep apnea (average oxygen saturation during sleep)[26977737];Mean corpuscular volume[27863252];Malaria[22895189];Lymphocyte counts[27863252];Breast size[22747683];Red cell distribution width[27863252];Hemoglobin concentration[27863252];,0.7110429447852761,0.8231046931407943,0.5228399895588619,0.9211172498465316
298,1764,ATP2C1,604384,169600;,,Familial benign chronic pemphigus,Disease-causing germline mutation(s) in,Restless legs syndrome[29029846];,0.8401226993865031,0.9802733367715317,0.3424693291568781,0.9714548802946593
299,1767,ATP4A,137216,,,Familial gastric type 1 neuroendocrine tumor,Disease-causing germline mutation(s) in,Platelet count[29403010];,0.5128834355828221,0.0964414646725116,0.6285565126598799,0.7558317986494782
300,1769,ATP5F1A,164360,615228;616045;,"[MIM:616045]Combined oxidative phosphorylation deficiency 22;[MIM:615228]Mitochondrial complex V deficiency, nuclear 4;",Isolated ATP synthase deficiency,Disease-causing germline mutation(s) in,Bone mineral density (hip)[30172743];,0.9887116564417178,0.9525528623001547,0.0,0.0
301,1781,ATP5F1D,603150,,,Isolated ATP synthase deficiency,Disease-causing germline mutation(s) in,,0.7842944785276074,0.5477050025786487,0.0,0.0
302,1782,ATP5F1E,606153,614053;,,Isolated ATP synthase deficiency,Disease-causing germline mutation(s) in,,0.674723926380368,0.43604951005673026,0.0,0.0
303,1841,ATP6AP2,300556,300423;300911;,"[MIM:300423]Mental retardation, X-linked, with epilepsy;[MIM:300911]Parkinsonism with spasticity, X-linked;","X-linked parkinsonism-spasticity syndrome;X-linked intellectual disability, Hedera type",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.967239263803681,0.7913873130479628,0.8245888801879405,0.6548496009821977
304,1842,ATP6V1A,607027,617403;,,"Autosomal recessive cutis laxa type 2, classic type;Undetermined early-onset epileptic encephalopathy",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Prostate cancer[23535732];,0.9300613496932515,0.8202681794739557,0.8611328634821196,0.6238489871086557
305,1843,ATP6V1B1,192132,267300;,"[MIM:267300]Renal tubular acidosis, distal, with progressive nerve deafness [recessive?];",Autosomal recessive distal renal tubular acidosis,Disease-causing germline mutation(s) in,Acne (severe)[24927181];,0.8615950920245399,0.15781330582774625,0.06003654398329418,0.5767341927562922
306,1845,ATP6V1B2,606939,124480;616455;,"[MIM:616455]Zimmermann-Laband syndrome 2;[MIM:124480]Deafness, congenital, with onychodystrophy, autosomal dominant [dominant?];",Zimmermann-Laband syndrome;Autosomal dominant deafness-onychodystrophy syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Erythrocyte cadmium concentration in never smokers[27005419];Susceptibility to persistent hepatitis B virus infection[27244555];Circulating myeloperoxidase levels (serum)[23620142];Major depressive disorder (broad)[20038947];,0.8986503067484662,0.6013408973697782,0.6053249804228661,0.7183855125844076
307,1849,ATP6V1E1,108746,617402;,,"Autosomal recessive cutis laxa type 2, classic type",Disease-causing germline mutation(s) in,,0.8907975460122699,0.6972666322846828,0.8115374575828765,0.874462860650706
308,1869,ATP6V0A2,611716,219200;278250;,"[MIM:219200]Cutis laxa, autosomal recessive, 2A [recessive?];[MIM:278250]Wrinkly skin syndrome [recessive?];","Wrinkly skin syndrome;Autosomal recessive cutis laxa type 2, classic type",Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Waist-to-hip ratio adjusted for BMI (age >50)[26426971];Adiponectin levels[22479202];Waist-to-hip ratio adjusted for BMI[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.7001226993865031,0.35714285714285715,0.35604280866614463,0.6981276856967464
309,1870,ATP6V0A4,605239,602722;,,Autosomal recessive distal renal tubular acidosis,Disease-causing germline mutation(s) in,F-cell distribution[21326311];,0.39631901840490796,0.03429602888086643,0.217958757504568,0.9157458563535912
310,1886,ATP7A,300011,300489;304150;309400;,"[MIM:309400]Menkes disease;[MIM:304150]Occipital horn syndrome;[MIM:300489]Distal spinal muscular atrophy, X-linked, 3;",Menkes disease;X-linked distal spinal muscular atrophy type 3;Occipital horn syndrome,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.867239263803681,0.796544610624033,0.10858783607413208,0.9459791282995703
311,1887,ATP7B,606882,277900;,[MIM:277900]Wilson disease [recessive?];,Wilson disease,Disease-causing germline mutation(s) (loss of function) in,Clostridium difficile infection in multiple myeloma[29594489];,0.7749693251533742,0.11964930376482723,0.1370399373531715,0.9145181092694905
312,1890,ATP8A2,605870,615268;,,Dysequilibrium syndrome,Disease-causing germline mutation(s) in,Docetaxel-induced peripheral neuropathy in metastatic castrate-resistant prostate cancer[27143689];Breast milk fatty acid composition (maternal genotype effect)[29514873];Breast milk fatty acid composition (infant genotype effect)[29514873];Eating disorders[23568457];Common carotid intima-media thickness[29206233];,0.10711656441717791,0.08612686952037132,0.624902114330462,0.46608348680171885
313,1894,ATP8B1,602397,147480;211600;243300;,"[MIM:243300]Cholestasis, benign recurrent intrahepatic, 1;[MIM:147480]Cholestasis of pregnancy, intrahepatic 1;",Intrahepatic cholestasis of pregnancy;Progressive familial intrahepatic cholestasis type 1;Benign recurrent intrahepatic cholestasis type 1,Major susceptibility factor in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Liver enzyme levels (gamma-glutamyl transferase)[22001757];Manganese levels[26025379];Vitiligo[19890347];Attention deficit hyperactivity disorder and conduct disorder[18951430];Very long-chain saturated fatty acid levels (fatty acid 20:0)[25378659];,0.08736196319018405,0.6598762248581743,0.3025319759853824,0.5240945365254758
314,1901,ATP10A,605855,105830;,,Angelman syndrome due to imprinting defect in 15q11-q13,Role in the phenotype of,Insulin resistance/response[21901158;21901158];Immune reponse to smallpox (secreted IFN-alpha)[22610502];,0.038773006134969326,0.41464672511603917,0.020360219263899765,0.7251381215469613
315,1904,ATP11A,605868,,,Idiopathic pulmonary fibrosis,Major susceptibility factor in,Reticulocyte fraction of red cells[27863252];Mean corpuscular volume[27863252];Glycated hemoglobin levels[20858683;28898252];Interstitial lung disease[23583980];Red cell distribution width[27863252;27863252];,0.10711656441717791,0.27720474471377,0.4685460715217959,0.7346531614487416
316,1911,ATP13A2,610513,606693;617225;,"[MIM:606693]Kufor-Rakeb syndrome [recessive?];[MIM:617225]Spastic paraplegia 78, autosomal recessive [recessive?];",ATP13A2-related juvenile neuronal ceroid lipofuscinosis;Kufor-Rakeb syndrome;Autosomal recessive spastic paraplegia type 78,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)[28448500];Hip circumference adjusted for BMI[25673412;25673412;25673412];Height[20189936;25429064];Waist circumference adjusted for BMI in active individuals[28448500];Intraocular pressure[29617998];,0.5519018404907975,0.45435791645177925,0.5231010180109632,0.925414364640884
317,1918,ATPAF1,608917,,,Isolated ATP synthase deficiency,Candidate gene tested in,,0.9040490797546012,0.4515214027849407,0.6630122683372488,0.0
318,1919,ATPAF2,608918,604273;,,Isolated ATP synthase deficiency,Disease-causing germline mutation(s) in,Schizophrenia[25056061;28991256];,0.8279754601226994,0.41645177926766375,0.6687548942834769,0.3218232044198895
319,1920,ATR,601215,210600;614564;,"[MIM:210600]Seckel syndrome 1 [recessive?];[MIM:614564]Cutaneous telangiectasia and cancer syndrome, familial;",Seckel syndrome;Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Reticulocyte fraction of red cells[27863252];Mean corpuscular volume[29403010];Mean corpuscular hemoglobin[29403010];Reticulocyte count[27863252];Red blood cell count[29403010;27863252];,0.674723926380368,0.6896596183599794,0.2926128948055338,0.20549416820135052
320,1922,ATRIP,606605,,,Seckel syndrome,Disease-causing germline mutation(s) in,Inflammatory bowel disease[28067908];Crohn's disease[28067908];Ulcerative colitis[28067908];,0.8053987730061349,0.35817431665807115,0.3531714956930305,0.15899324739103746
321,1925,ATRX,300032,300448;301040;309580;,"[MIM:301040]Alpha-thalassemia mental retardation syndrome, X-linked;[MIM:309580]Mental retardation, X-linked, syndromic, with hypotonic facies 1;[MIM:300448]Alpha-thalassemia myelodysplasia syndrome;",Alpha-thalassemia-X-linked intellectual disability syndrome;Alpha-thalassemia-myelodysplastic syndrome;Smith-Fineman-Myers syndrome;Chudley-Lowry-Hoar syndrome;Holmes-Gang syndrome;Carpenter-Waziri syndrome;Juberg-Marsidi syndrome;Neuroendocrine tumor of stomach,Disease-causing germline mutation(s) in;Disease-causing somatic mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Candidate gene tested in,,0.7487116564417178,0.7929345023207839,0.6340381101540068,0.9825046040515654
322,1926,ATXN1,601556,164400;,[MIM:164400]Spinocerebellar ataxia 1 [dominant?];,Spinocerebellar ataxia type 1,Disease-causing germline mutation(s) in,Cortical amyloid beta load[29860282];Subcutaneous adipose tissue attenuation (Hounsfield unit scale)[27918534;27918534];Gambling[22780124];Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes[29221444];High light scatter reticulocyte percentage of red cells[27863252];Reticulocyte count[27863252];Myeloid white cell count[27863252];Atrial fibrillation[30061737;29892015;29892015];Amyotrophic lateral sclerosis[19451621];Sum basophil neutrophil counts[27863252];High light scatter reticulocyte count[27863252];Sum neutrophil eosinophil counts[27863252];Breast cancer[29059683];Granulocyte count[27863252];Neutrophil count[29403010;27863252];General cognitive ability[29844566];Major depressive disorder[23377640];Total body bone mineral density[30172743];Systemic lupus erythematosus[27399966;27399966;28714469];Reticulocyte fraction of red cells[27863252];White blood cell count[29403010;27863252];Visceral adipose tissue attenuation (Hounslow unit scale)[27918534];,0.6776687116564417,0.9185146982980918,0.447141738449491,0.7992633517495396
323,1928,ATXN2,601517,183090;,[MIM:183090]Spinocerebellar ataxia 2 [dominant?];[MIM:183090]Amyotrophic lateral sclerosis 13;,Amyotrophic lateral sclerosis;Spinocerebellar ataxia type 2,Major susceptibility factor in;Disease-causing germline mutation(s) in,"Primary biliary cirrhosis[22961000];Thyroid peroxidase antibody positivity[24586183];Hematocrit[19862010];Plateletcrit[27863252];High light scatter reticulocyte count[27863252];Eosinophil counts[27863252];Diastolic blood pressure x alcohol consumption interaction (2df test)[29912962];Mean arterial pressure[27618448];Left ventricle diastolic internal dimension[28394258];Immature fraction of reticulocytes[27863252];Blood osmolality (transformed sodium)[28360221];Glaucoma (primary open-angle)[26752265];Beta-2 microglubulin plasma levels[23417110];Body mass index[26426971];Systemic lupus erythematosus[26502338;28714469];Reticulocyte fraction of red cells[27863252];Systolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Blood pressure[21909110];Mean arterial pressure x alcohol consumption interaction (2df test)[29912962];High light scatter reticulocyte percentage of red cells[27863252];Glycated hemoglobin levels[28898252];Diastolic blood pressure[19430483;26390057;26390057];Platelet distribution width[27863252];Hypothyroidism[22493691;27182965];Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Systolic blood pressure (cigarette smoking interaction)[29455858];Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962];Inflammatory bowel disease[28067908;26192919];Celiac disease[18311140;22057235];Sum eosinophil basophil counts[27863252];Serum total protein level[29403010];Sjögren's syndrome[24097067];Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)[23603761];Thyroid peroxidase antibody levels[24586183];Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Reaction time[29844566;29844566;29844566];Monocyte count[27863252];Glomerular filtration rate (cystatin C)[28452372];Diastolic blood pressure (cigarette smoking interaction)[29455858];Mean corpuscular volume[27863252];Peripheral artery disease[25009551];Vitiligo[27723757];Allergic disease (asthma, hay fever or eczema)[29083406];Red blood cell traits[23222517];Allergic rhinitis[30013184];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962];Platelet count[24026423;27863252;29403010];Eosinophil percentage of white cells[27863252];Retinal vascular caliber[21060863];Urate levels[23263486];Sarcoidosis[26051272];Chronic kidney disease[20383146];Crohn's disease[26192919;28067908];Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Coronary artery disease[29212778;29212778;29212778];Alopecia areata[25608926];Eosinophil percentage of granulocytes[27863252];Primary biliary cholangitis[26394269];Neutrophil percentage of granulocytes[27863252];Intraocular pressure[30054594];",0.8868711656441718,0.926250644662197,0.042286609240407204,0.46608348680171885
324,1931,ATXN3,607047,109150;,[MIM:109150]Spinocerebellar ataxia 3 [dominant?];,Machado-Joseph disease type 1;Machado-Joseph disease type 3;Machado-Joseph disease type 2,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Coronary artery calcification[23870195];Amyotrophic lateral sclerosis[29566793];Height[18391950;18391951];Orofacial clefts[22419666];,0.5460122699386503,0.6820526044352759,0.06369094231271208,0.0836402701043585
325,1933,ATXN7,607640,164500;,[MIM:164500]Spinocerebellar ataxia 7 [dominant?];,Spinocerebellar ataxia type 7,Disease-causing germline mutation(s) in,Schizophrenia[25056061;28991256];,0.6225766871165644,0.9355337802991233,0.07021665361524407,0.4585635359116022
326,1938,ATXN8,613289,608768;,[MIM:608768]Spinocerebellar ataxia 8 [dominant?];,Spinocerebellar ataxia type 8,Disease-causing germline mutation(s) in,,0.038773006134969326,0.0,0.0,0.0
327,1939,ATXN8OS,603680,,,Spinocerebellar ataxia type 8,Disease-causing germline mutation(s) in,Language performance in older adults (adjusted for episodic memory)[28577822];,0.038773006134969326,0.0,0.0,0.0
328,1940,ATXN10,611150,603516;,,Spinocerebellar ataxia type 10,Disease-causing germline mutation(s) in,Hematocrit[29403010];Hemoglobin[29403010];,0.9101840490797546,0.6980402269210934,0.7872618115374576,0.5943830570902394
